feedback_id,user_id,rating,feature_name,comments,session_id
1,1688,5,ai_assistant,"Great feature, very intuitive!",11113
2,1654,3,sales_insights,Decent but room for improvement,10884
3,7204,4,team_collaboration,"Great feature, very intuitive!",46669
4,7667,4,sales_insights,Saves me a lot of time,49644
5,5052,4,document_analysis,Very helpful for our team,32532
6,995,4,sales_insights,Excellent user experience,6584
7,2932,3,analytics_deep_dive,Decent but room for improvement,18994
8,237,2,team_collaboration,Hard to understand,1821
9,9771,4,email_automation,Saves me a lot of time,63194
10,1411,5,analytics_deep_dive,"Great feature, very intuitive!",9437
11,7227,1,email_automation,Too slow to load,46873
12,2131,3,sales_insights,Decent but room for improvement,13841
13,809,4,team_collaboration,Very helpful for our team,5231
14,1469,5,analytics_deep_dive,Very helpful for our team,9813
15,1912,5,team_collaboration,Love the AI insights,12625
16,2320,5,report_generation,Love the AI insights,15075
17,5384,4,email_automation,Love the AI insights,34582
18,1206,5,custom_workflows,"Great feature, very intuitive!",8218
19,1456,3,ai_assistant,Average functionality,9732
20,8043,4,lead_scoring,"Great feature, very intuitive!",52091
21,8497,4,dashboard_view,Saves me a lot of time,54896
22,2588,4,api_integration,"Great feature, very intuitive!",16808
23,7809,4,custom_workflows,Excellent user experience,50555
24,438,2,report_generation,Not very useful,3025
25,8011,3,email_automation,Average functionality,51835
26,876,4,lead_scoring,"Great feature, very intuitive!",5786
27,8766,5,custom_workflows,Saves me a lot of time,56841
28,9645,4,analytics_deep_dive,Saves me a lot of time,62244
29,6732,2,sales_insights,Too slow to load,43449
30,2420,4,api_integration,"Great feature, very intuitive!",15756
31,2310,4,sales_insights,Very helpful for our team,15035
32,3220,4,lead_scoring,Excellent user experience,20940
33,4571,4,analytics_deep_dive,Very helpful for our team,29388
34,662,3,document_analysis,Works as expected,4383
35,1681,4,ai_assistant,Excellent user experience,11061
36,2428,5,analytics_deep_dive,"Great feature, very intuitive!",15817
37,3541,4,analytics_deep_dive,Love the AI insights,22991
38,9152,3,custom_workflows,Works as expected,59222
39,7570,5,lead_scoring,Saves me a lot of time,48975
40,1756,1,email_automation,Hard to understand,11550
41,8611,5,email_automation,"Great feature, very intuitive!",55726
42,3131,4,team_collaboration,Saves me a lot of time,20259
43,1224,5,dashboard_view,Love the AI insights,8327
44,5440,4,document_analysis,Excellent user experience,34975
45,66,3,custom_workflows,Works as expected,493
46,1109,4,document_analysis,Love the AI insights,7463
47,8018,4,dashboard_view,Saves me a lot of time,51878
48,2237,3,data_export,Decent but room for improvement,14563
49,4347,5,sales_insights,Saves me a lot of time,28083
50,9005,5,email_automation,Excellent user experience,58369
51,6308,3,analytics_deep_dive,"It's okay, could be better",40678
52,1367,1,team_collaboration,Not very useful,9130
53,4475,4,dashboard_view,Saves me a lot of time,28830
54,5435,3,email_automation,Works as expected,34946
55,3129,3,api_integration,Works as expected,20239
56,6992,3,sales_insights,Decent but room for improvement,45232
57,2478,4,custom_workflows,"Great feature, very intuitive!",16141
58,722,4,report_generation,Saves me a lot of time,4700
59,2248,4,report_generation,Excellent user experience,14648
60,8228,4,api_integration,Love the AI insights,53316
61,4276,3,dashboard_view,Decent but room for improvement,27702
62,814,3,report_generation,"It's okay, could be better",5290
63,4402,2,analytics_deep_dive,Hard to understand,28381
64,5522,5,sales_insights,Saves me a lot of time,35455
65,2810,4,dashboard_view,Saves me a lot of time,18298
66,8025,3,data_export,"It's okay, could be better",51961
67,2982,4,analytics_deep_dive,Very helpful for our team,19304
68,2296,2,document_analysis,Too slow to load,14952
69,1158,5,sales_insights,Love the AI insights,7808
70,1246,5,custom_workflows,Very helpful for our team,8508
71,6165,5,email_automation,"Great feature, very intuitive!",39750
72,7996,5,team_collaboration,Saves me a lot of time,51767
73,7613,3,document_analysis,Works as expected,49277
74,6371,5,sales_insights,Love the AI insights,41048
75,6551,1,report_generation,Not very useful,42301
76,8818,4,custom_workflows,Excellent user experience,57117
77,3216,5,email_automation,Saves me a lot of time,20908
78,3261,3,report_generation,Average functionality,21262
79,5124,2,email_automation,Too slow to load,33019
80,312,5,sales_insights,Excellent user experience,2240
81,2329,4,email_automation,Very helpful for our team,15137
82,5857,4,report_generation,Saves me a lot of time,37779
83,5786,4,custom_workflows,Love the AI insights,37296
84,1070,4,dashboard_view,"Great feature, very intuitive!",7146
85,9855,5,sales_insights,Excellent user experience,63718
86,6446,2,lead_scoring,Hard to understand,41497
87,4211,4,analytics_deep_dive,Excellent user experience,27380
88,3730,2,sales_insights,Too slow to load,24330
89,479,5,email_automation,Excellent user experience,3291
90,92,2,lead_scoring,Not very useful,784
91,2828,4,custom_workflows,Very helpful for our team,18358
92,2425,5,team_collaboration,"Great feature, very intuitive!",15778
93,6754,4,sales_insights,Very helpful for our team,43646
94,8783,4,document_analysis,Excellent user experience,56945
95,6570,5,sales_insights,"Great feature, very intuitive!",42434
96,7227,2,api_integration,Confusing interface,46860
97,8516,3,analytics_deep_dive,Average functionality,55004
98,6120,3,document_analysis,Decent but room for improvement,39436
99,5142,4,ai_assistant,Very helpful for our team,33138
100,9201,3,data_export,Decent but room for improvement,59534
101,2339,2,lead_scoring,Too slow to load,15220
102,7221,3,lead_scoring,Average functionality,46821
103,5256,4,sales_insights,Excellent user experience,33841
104,5740,4,dashboard_view,Excellent user experience,37023
105,1813,5,sales_insights,Very helpful for our team,11972
106,8556,4,lead_scoring,Saves me a lot of time,55299
107,1411,5,report_generation,Excellent user experience,9438
108,1228,5,custom_workflows,Excellent user experience,8361
109,9995,5,custom_workflows,Very helpful for our team,64602
110,9028,4,lead_scoring,Very helpful for our team,58476
111,448,3,sales_insights,"It's okay, could be better",3081
112,2217,2,custom_workflows,Hard to understand,14335
113,1804,4,data_export,"Great feature, very intuitive!",11916
114,3229,1,ai_assistant,Hard to understand,21036
115,6953,4,email_automation,Excellent user experience,45007
116,9588,5,analytics_deep_dive,"Great feature, very intuitive!",61865
117,3201,2,lead_scoring,Too slow to load,20862
118,7026,4,team_collaboration,"Great feature, very intuitive!",45492
119,8402,5,team_collaboration,"Great feature, very intuitive!",54260
120,8124,4,document_analysis,"Great feature, very intuitive!",52599
121,924,5,sales_insights,"Great feature, very intuitive!",6102
122,6628,1,email_automation,Confusing interface,42870
123,8661,5,api_integration,Very helpful for our team,56077
124,3629,5,custom_workflows,Saves me a lot of time,23613
125,2139,4,email_automation,"Great feature, very intuitive!",13913
126,8181,3,sales_insights,Works as expected,53021
127,8634,4,dashboard_view,Saves me a lot of time,55876
128,2713,3,custom_workflows,Works as expected,17637
129,3948,3,document_analysis,"It's okay, could be better",25607
130,7189,4,data_export,Excellent user experience,46577
131,8871,4,api_integration,Excellent user experience,57457
132,9349,4,document_analysis,Very helpful for our team,60390
133,8532,5,lead_scoring,"Great feature, very intuitive!",55146
134,206,2,api_integration,Confusing interface,1580
135,482,3,dashboard_view,Works as expected,3300
136,5174,3,report_generation,Decent but room for improvement,33291
137,9422,5,ai_assistant,Saves me a lot of time,60789
138,2228,3,custom_workflows,Average functionality,14469
139,5363,1,report_generation,Not very useful,34456
140,8371,5,dashboard_view,Excellent user experience,54112
141,2951,4,lead_scoring,Saves me a lot of time,19118
142,3349,3,data_export,"It's okay, could be better",21848
143,7381,4,sales_insights,Very helpful for our team,47812
144,5621,4,custom_workflows,Love the AI insights,36170
145,2388,5,dashboard_view,Very helpful for our team,15551
146,1687,5,data_export,Love the AI insights,11094
147,8246,3,ai_assistant,"It's okay, could be better",53442
148,8247,4,document_analysis,"Great feature, very intuitive!",53447
149,9338,3,team_collaboration,Works as expected,60358
150,1135,4,lead_scoring,Very helpful for our team,7608
151,4735,5,sales_insights,Love the AI insights,30420
152,4275,4,ai_assistant,Very helpful for our team,27700
153,7689,5,report_generation,Excellent user experience,49799
154,4802,2,analytics_deep_dive,Buggy and unreliable,30772
155,4960,4,document_analysis,Very helpful for our team,31921
156,9802,4,custom_workflows,"Great feature, very intuitive!",63336
157,4176,5,report_generation,"Great feature, very intuitive!",27087
158,5708,4,report_generation,Very helpful for our team,36838
