feedback_id,user_id,rating,feature_name,comments,session_id
1,1,4,document_analysis,Works well,6
2,1,4,email_automation,Found a bug,7
3,1,3,ai_assistant,Confusing in parts,8
4,1,5,dashboard_view,Confusing in parts,10
5,1,4,ai_assistant,Confusing in parts,14
6,2,5,document_analysis,Good UI,20
7,3,5,ai_assistant,Found a bug,24
8,3,5,document_analysis,Good UI,25
9,3,5,document_analysis,Great speed,30
10,3,5,ai_assistant,Good UI,34
11,3,3,team_collaboration,Works well,36
12,6,4,document_analysis,Needs improvement,40
13,7,3,dashboard_view,Needs improvement,47
14,7,5,dashboard_view,Works well,48
15,7,3,api_integration,Useful,51
16,7,5,data_export,Confusing in parts,59
17,9,4,analytics_deep_dive,Great speed,65
18,9,5,data_export,Needs improvement,66
19,9,5,custom_workflows,Needs improvement,68
20,9,4,custom_workflows,Good UI,70
21,9,4,custom_workflows,Found a bug,71
22,10,5,api_integration,Works well,73
23,10,4,custom_workflows,Good UI,79
24,10,3,custom_workflows,Needs improvement,82
25,11,4,analytics_deep_dive,Good UI,94
26,11,5,analytics_deep_dive,Useful,96
27,12,3,ai_assistant,Great speed,103
28,13,4,ai_assistant,Works well,108
29,13,5,document_analysis,Works well,111
30,13,5,document_analysis,Needs improvement,114
31,13,4,team_collaboration,Great speed,116
32,13,5,email_automation,Great speed,118
33,14,4,api_integration,Confusing in parts,120
34,14,5,document_analysis,Found a bug,122
35,14,4,data_export,Needs improvement,127
36,14,5,custom_workflows,Good UI,128
37,14,5,document_analysis,Confusing in parts,131
38,14,3,dashboard_view,Good UI,132
39,14,4,analytics_deep_dive,Useful,133
40,14,5,api_integration,Great speed,137
41,14,4,document_analysis,Confusing in parts,138
42,15,2,ai_assistant,Found a bug,141
43,17,5,dashboard_view,Works well,150
44,17,5,analytics_deep_dive,Confusing in parts,153
45,17,4,custom_workflows,Good UI,159
46,17,5,data_export,Useful,161
47,18,2,document_analysis,Good UI,167
48,19,4,custom_workflows,Confusing in parts,169
49,19,3,analytics_deep_dive,Needs improvement,170
50,19,5,analytics_deep_dive,Useful,173
51,19,5,data_export,Works well,174
52,19,5,document_analysis,Great speed,181
53,20,3,email_automation,Needs improvement,185
54,20,4,team_collaboration,Useful,188
55,20,4,ai_assistant,Great speed,191
56,22,2,ai_assistant,Useful,198
57,23,4,analytics_deep_dive,Confusing in parts,206
